Date,Close,Volume
1589,29.09,0.0
1590,29.09,0.0
1591,29.09,0.0
1592,29.09,0.0
1593,29.09,0.0
1594,29.09,0.0
1595,29.09,0.0
1596,29.09,0.0
1597,30.529,795794.0
1598,32.046,2166296.0
1599,33.641,7452010.0
1600,33.913,394275232.0
1601,35.041,330265952.0
1602,33.68,165761296.0
1603,35.352,236138736.0
1604,33.68,163777600.0
1605,35.352,190836288.0
1606,35.43,102059032.0
1607,37.219,155614144.0
1608,39.085,65145284.0
1609,41.03,519636448.0
1610,41.458,300890592.0
1611,42.002,170575552.0
1612,44.102,175543184.0
1613,46.319,144703552.0
1614,47.408,399656416.0
1615,47.408,0.0
1616,45.036,116279936.0
1617,42.78,35421100.0
1618,44.919,320193536.0
1619,44.919,269486976.0
1620,43.986,186304592.0
1621,41.808,192048432.0
1622,40.058,187929600.0
1623,42.08,145887600.0
1624,44.18,142125488.0
1625,44.958,207431776.0
1626,45.541,164859808.0
1627,43.558,109041768.0
1628,43.558,168738512.0
1629,45.502,196835120.0
1630,46.28,200755344.0
1631,43.986,166112640.0
1632,42.313,122096232.0
1633,43.947,99698496.0
1634,43.713,72383752.0
1635,45.891,142515456.0
1636,45.93,221288848.0
1637,48.225,254027424.0
1638,50.13,337896032.0
1639,47.68,238443616.0
1640,47.914,136679264.0
1641,45.502,141297376.0
1642,43.247,185245968.0
1643,41.069,137826992.0
1644,41.419,121746624.0
1645,43.091,71996200.0
1646,41.924,71936536.0
1647,41.924,0.0
1648,43.363,73205040.0
1649,42.78,76485520.0
1650,41.613,73355312.0
1651,39.552,91296952.0
1652,40.447,113406400.0
1653,38.424,100146992.0
1654,38.346,83755856.0
1655,37.219,46385376.0
1656,39.085,87436160.0
1657,40.135,127012536.0
1658,41.574,134495728.0
1659,41.263,57105432.0
1660,41.847,66873856.0
1661,41.497,51751984.0
1662,43.286,119727656.0
1663,45.464,166138624.0
1664,45.697,148377888.0
1665,45.425,115945592.0
1666,43.597,106416472.0
1667,43.908,114646456.0
1668,44.919,108742136.0
1669,43.752,72557784.0
1670,44.258,104211656.0
1671,44.725,117053136.0
1672,45.969,155057680.0
1673,48.264,277438720.0
1674,48.225,170318832.0
